Time_treatment,Age,Animal,Exposed/Control,days_post_exposure,Measure_at_exposure,Length_at_exposure_mm
Night,9,34,Control,4,79,1.5168
Night,9,35,Control,4,82,1.5744
Night,9,36,Control,4,55,1.056
Night,9,37,Control,4,NA,NA
Day,6,1,Exposed,8,NA,NA
Day,6,2,Exposed,8,77,1.4784
Day,6,3,Exposed,8,NA,NA
Day,6,4,Exposed,8,75,1.44
Day,6,5,Exposed,8,75,1.44
Day,6,6,Exposed,8,NA,NA
Day,6,7,Exposed,8,72,1.3824
Day,6,8,Exposed,8,72,1.3824
Day,6,9,Exposed,8,74,1.4208
Day,6,10,Exposed,8,79,1.5168
Day,6,11,Exposed,8,67,1.2864
Day,6,12,Exposed,8,70,1.344
Day,6,13,Exposed,8,73,1.4016
Day,6,14,Exposed,8,NA,NA
Day,6,15,Exposed,8,NA,NA
Day,6,16,Exposed,8,NA,NA
Day,6,17,Exposed,8,74,1.4208
Day,6,18,Exposed,8,73,1.4016
Day,6,19,Exposed,8,69,1.3248
Day,6,20,Exposed,8,78,1.4976
Day,6,21,Exposed,8,75,1.44
Day,6,22,Exposed,8,74,1.4208
Day,6,23,Exposed,8,70,1.344
Day,6,24,Exposed,8,78,1.4976
Day,6,25,Exposed,8,76,1.4592
Day,6,26,Exposed,8,74,1.4208
Day,6,27,Exposed,8,75,1.44
Day,6,28,Exposed,8,74,1.4208
Day,6,29,Exposed,8,72,1.3824
Day,6,30,Exposed,8,NA,NA
Day,6,31,Control,8,71,1.3632
Day,6,32,Control,8,75,1.44
Day,6,33,Control,8,76,1.4592
Day,6,34,Control,8,NA,NA
Day,6,35,Control,8,NA,NA
Day,6,36,Control,8,74,1.4208
Day,6,37,Control,8,56,1.0752
Night,6,1,Exposed,8,77,1.4784
Night,6,2,Exposed,8,76,1.4592
Night,6,3,Exposed,8,76,1.4592
Night,6,4,Exposed,8,75,1.44
Night,6,5,Exposed,8,79,1.5168
Night,6,6,Exposed,8,77,1.4784
Night,6,7,Exposed,8,80,1.536
Night,6,8,Exposed,8,75,1.44
Night,6,9,Exposed,8,74,1.4208
Night,6,10,Exposed,8,72,1.3824
Night,6,11,Exposed,8,80,1.536
Night,6,12,Exposed,8,69,1.3248
Night,6,13,Exposed,8,75,1.44
Night,6,14,Exposed,8,75,1.44
Night,6,15,Exposed,8,75,1.44
Night,6,16,Exposed,8,70,1.344
Night,6,17,Exposed,8,70,1.344
Night,6,18,Exposed,8,55,1.056
Night,6,19,Exposed,8,NA,NA
Night,6,20,Exposed,8,71,1.3632
Night,6,21,Exposed,8,80,1.536
Night,6,22,Exposed,8,NA,NA
Night,6,23,Exposed,8,75,1.44
Night,6,24,Exposed,8,75,1.44
Night,6,25,Exposed,8,78,1.4976
Night,6,26,Exposed,8,75,1.44
Night,6,27,Exposed,8,75,1.44
Night,6,28,Exposed,8,73,1.4016
Night,6,29,Exposed,8,75,1.44
Night,6,30,Exposed,8,74,1.4208
Night,6,31,Control,8,80,1.536
Night,6,32,Control,8,83,1.5936
Night,6,33,Control,8,78,1.4976
Night,6,34,Control,8,79,1.5168
Night,6,35,Control,8,79,1.5168
Night,6,36,Control,8,75,1.44
Night,6,37,Control,8,NA,NA
Day,7,1,Exposed,8,74,1.4208
Day,7,2,Exposed,8,73,1.4016
Day,7,3,Exposed,8,74,1.4208
Day,7,4,Exposed,8,73,1.4016
Day,7,5,Exposed,8,77,1.4784
Day,7,6,Exposed,8,NA,NA
Day,7,7,Exposed,8,NA,NA
Day,7,8,Exposed,8,73,1.4016
Day,7,9,Exposed,8,75,1.44
Day,7,10,Exposed,8,73,1.4016
Day,7,11,Exposed,8,NA,NA
Day,7,12,Exposed,8,77,1.4784
Day,7,13,Exposed,8,68,1.3056
Day,7,14,Exposed,8,72,1.3824
Day,7,15,Exposed,8,78,1.4976
Day,7,16,Exposed,8,78,1.4976
Day,7,17,Exposed,8,78,1.4976
Day,7,18,Exposed,8,74,1.4208
Day,7,19,Exposed,8,75,1.44
Day,7,20,Exposed,8,73,1.4016
Day,7,21,Exposed,8,NA,NA
Day,7,22,Exposed,8,74,1.4208
Day,7,23,Exposed,8,74,1.4208
Day,7,24,Exposed,8,72,1.3824
Day,7,25,Exposed,8,70,1.344
Day,7,26,Exposed,8,80,1.536
Day,7,27,Exposed,8,73,1.4016
Day,7,28,Exposed,8,70,1.344
Day,7,29,Exposed,8,77,1.4784
Day,7,30,Exposed,8,79,1.5168
Day,7,31,Control,8,75,1.44
Day,7,32,Control,8,79,1.5168
Day,7,33,Control,8,76,1.4592
Day,7,34,Control,8,78,1.4976
Day,7,35,Control,8,80,1.536
Day,7,36,Control,8,74,1.4208
Day,7,37,Control,8,NA,NA
Night,7,1,Exposed,8,73,1.4016
Night,7,2,Exposed,8,73,1.4016
Night,7,3,Exposed,8,NA,NA
Night,7,4,Exposed,8,72,1.3824
Night,7,5,Exposed,8,77,1.4784
Night,7,6,Exposed,8,72,1.3824
Night,7,7,Exposed,8,78,1.4976
Night,7,8,Exposed,8,75,1.44
Night,7,9,Exposed,8,68,1.3056
Night,7,10,Exposed,8,77,1.4784
Night,7,11,Exposed,8,78,1.4976
Night,7,12,Exposed,8,74,1.4208
Night,7,13,Exposed,8,72,1.3824
Night,7,14,Exposed,8,70,1.344
Night,7,15,Exposed,8,74,1.4208
Night,7,16,Exposed,8,75,1.44
Night,7,17,Exposed,8,72,1.3824
Night,7,18,Exposed,8,77,1.4784
Night,7,19,Exposed,8,73,1.4016
Night,7,20,Exposed,8,76,1.4592
Night,7,21,Exposed,8,73,1.4016
Night,7,22,Exposed,8,77,1.4784
Night,7,23,Exposed,8,75,1.44
Night,7,24,Exposed,8,78,1.4976
Night,7,25,Exposed,8,78,1.4976
Night,7,26,Exposed,8,81,1.5552
Night,7,27,Exposed,8,79,1.5168
Night,7,28,Exposed,8,83,1.5936
Night,7,29,Exposed,8,81,1.5552
Night,7,30,Exposed,8,66,1.2672
Night,7,31,Control,8,NA,NA
Night,7,32,Control,8,76,1.4592
Night,7,33,Control,8,75,1.44
Night,7,34,Control,8,74,1.4208
Night,7,35,Control,8,NA,NA
Night,7,36,Control,8,NA,NA
Night,7,37,Control,8,76,1.4592
Day,8,1,Exposed,8,NA,NA
Day,8,2,Exposed,8,70,1.344
Day,8,3,Exposed,8,75,1.44
Day,8,4,Exposed,8,78,1.4976
Day,8,5,Exposed,8,84,1.6128
Day,8,6,Exposed,8,76,1.4592
Day,8,7,Exposed,8,NA,NA
Day,8,8,Exposed,8,76,1.4592
Day,8,9,Exposed,8,80,1.536
Day,8,10,Exposed,8,80,1.536
Day,8,11,Exposed,8,76,1.4592
Day,8,12,Exposed,8,76,1.4592
Day,8,13,Exposed,8,77,1.4784
Day,8,14,Exposed,8,70,1.344
Day,8,15,Exposed,8,75,1.44
Day,8,16,Exposed,8,76,1.4592
Day,8,17,Exposed,8,80,1.536
Day,8,18,Exposed,8,73,1.4016
Day,8,19,Exposed,8,78,1.4976
Day,8,20,Exposed,8,75,1.44
Day,8,21,Exposed,8,NA,NA
Day,8,22,Exposed,8,77,1.4784
Day,8,23,Exposed,8,NA,NA
Day,8,24,Exposed,8,NA,NA
Day,8,25,Exposed,8,75,1.44
Day,8,26,Exposed,8,77,1.4784
Day,8,27,Exposed,8,72,1.3824
Day,8,28,Exposed,8,71,1.3632
Day,8,29,Exposed,8,74,1.4208
Day,8,30,Exposed,8,77,1.4784
Day,8,31,Control,8,82,1.5744
Day,8,32,Control,8,73,1.4016
Day,8,33,Control,8,78,1.4976
Day,8,34,Control,8,83,1.5936
Day,8,35,Control,8,84,1.6128
Day,8,36,Control,8,82,1.5744
Day,8,37,Control,8,82,1.5744
Night,8,1,Exposed,8,NA,NA
Night,8,2,Exposed,8,79,1.5168
Night,8,3,Exposed,8,77,1.4784
Night,8,4,Exposed,8,78,1.4976
Night,8,5,Exposed,8,79,1.5168
Night,8,6,Exposed,8,NA,NA
Night,8,7,Exposed,8,72,1.3824
Night,8,8,Exposed,8,NA,NA
Night,8,9,Exposed,8,73,1.4016
Night,8,10,Exposed,8,71,1.3632
Night,8,11,Exposed,8,77,1.4784
Night,8,12,Exposed,8,NA,NA
Night,8,13,Exposed,8,NA,NA
Night,8,14,Exposed,8,72,1.3824
Night,8,15,Exposed,8,NA,NA
Night,8,16,Exposed,8,81,1.5552
Night,8,17,Exposed,8,75,1.44
Night,8,18,Exposed,8,80,1.536
Night,8,19,Exposed,8,NA,NA
Night,8,20,Exposed,8,73,1.4016
Night,8,21,Exposed,8,83,1.5936
Night,8,22,Exposed,8,NA,NA
Night,8,23,Exposed,8,79,1.5168
Night,8,24,Exposed,8,73,1.4016
Night,8,25,Exposed,8,73,1.4016
Night,8,26,Exposed,8,80,1.536
Night,8,27,Exposed,8,76,1.4592
Night,7,28,Exposed,8,78,1.4976
Night,8,29,Exposed,8,70,1.344
Night,8,30,Exposed,8,75,1.44
Night,8,31,Control,8,76,1.4592
Night,8,32,Control,8,83,1.5936
Night,8,33,Control,8,82,1.5744
Night,8,34,Control,8,77,1.4784
Night,8,35,Control,8,87,1.6704
Night,8,36,Control,8,82,1.5744
Night,8,37,Control,8,88,1.6896
Day,9,1,Exposed,8,76,1.4592
Day,9,2,Exposed,8,76,1.4592
Day,9,3,Exposed,8,85,1.632
Day,9,4,Exposed,8,79,1.5168
Day,9,5,Exposed,8,NA,NA
Day,9,6,Exposed,8,58,1.1136
Day,9,7,Exposed,8,78,1.4976
Day,9,8,Exposed,8,77,1.4784
Day,9,9,Exposed,8,81,1.5552
Day,9,10,Exposed,8,80,1.536
Day,9,11,Exposed,8,82,1.5744
Day,9,12,Exposed,8,80,1.536
Day,9,13,Exposed,8,76,1.4592
Day,9,14,Exposed,8,78,1.4976
Day,9,15,Exposed,8,82,1.5744
Day,9,16,Exposed,8,81,1.5552
Day,9,17,Exposed,8,77,1.4784
Day,9,18,Exposed,8,NA,NA
Day,9,19,Exposed,8,NA,NA
Day,9,20,Exposed,8,76,1.4592
Day,9,21,Exposed,8,NA,NA
Day,9,22,Exposed,8,74,1.4208
Day,9,23,Exposed,8,76,1.4592
Day,9,24,Exposed,8,82,1.5744
Day,9,25,Exposed,8,81,1.5552
Day,9,26,Exposed,8,75,1.44
Day,9,27,Exposed,8,83,1.5936
Day,9,28,Exposed,8,80,1.536
Day,9,29,Exposed,8,73,1.4016
Day,9,30,Exposed,8,NA,NA
Day,9,31,Control,8,NA,NA
Day,9,32,Control,8,83,1.5936
Day,9,33,Control,8,78,1.4976
Day,9,34,Control,8,68,1.3056
Day,9,35,Control,8,80,1.536
Day,9,36,Control,8,83,1.5936
Day,9,37,Control,8,76,1.4592
Night,9,1,Exposed,8,77,1.4784
Night,9,2,Exposed,8,75,1.44
Night,9,3,Exposed,8,74,1.4208
Night,9,4,Exposed,8,79,1.5168
Night,9,5,Exposed,8,75,1.44
Night,9,6,Exposed,8,77,1.4784
Night,9,7,Exposed,8,80,1.536
Night,9,8,Exposed,8,79,1.5168
Night,9,9,Exposed,8,78,1.4976
Night,9,10,Exposed,8,76,1.4592
Night,9,11,Exposed,8,82,1.5744
Night,9,12,Exposed,8,81,1.5552
Night,9,13,Exposed,8,79,1.5168
Night,9,14,Exposed,8,84,1.6128
Night,9,15,Exposed,8,NA,NA
Night,9,16,Exposed,8,75,1.44
Night,9,17,Exposed,8,79,1.5168
Night,9,18,Exposed,8,NA,NA
Night,9,19,Exposed,8,71,1.3632
Night,9,20,Exposed,8,83,1.5936
Night,9,21,Exposed,8,76,1.4592
Night,9,22,Exposed,8,79,1.5168
Night,9,23,Exposed,8,82,1.5744
Night,9,24,Exposed,8,79,1.5168
Night,9,25,Exposed,8,NA,NA
Night,9,26,Exposed,8,83,1.5936
Night,9,27,Exposed,8,NA,NA
Night,9,28,Exposed,8,76,1.4592
Night,9,29,Exposed,8,77,1.4784
Night,9,30,Exposed,8,76,1.4592
Night,9,31,Control,8,77,1.4784
Night,9,32,Control,8,85,1.632
Night,9,33,Control,8,80,1.536
Night,9,34,Control,8,82,1.5744
Night,9,35,Control,8,83,1.5936
Night,9,36,Control,8,51,0.9792
Night,9,37,Control,8,NA,NA
Day,6,1,Exposed,12,NA,NA
Day,6,2,Exposed,12,NA,NA
Day,6,3,Exposed,12,NA,NA
Day,6,4,Exposed,12,NA,NA
Day,6,5,Exposed,12,76,1.4592
Day,6,6,Exposed,12,NA,NA
Day,6,7,Exposed,12,76,1.4592
Day,6,8,Exposed,12,76,1.4592
Day,6,9,Exposed,12,76,1.4592
Day,6,10,Exposed,12,NA,NA
Day,6,11,Exposed,12,NA,NA
Day,6,12,Exposed,12,70,1.344
Day,6,13,Exposed,12,77,1.4784
Day,6,14,Exposed,12,NA,NA
Day,6,15,Exposed,12,NA,NA
Day,6,16,Exposed,12,NA,NA
Day,6,17,Exposed,12,76,1.4592
Day,6,18,Exposed,12,76,1.4592
Day,6,19,Exposed,12,72,1.3824
Day,6,20,Exposed,12,82,1.5744
Day,6,21,Exposed,12,75,1.44
Day,6,22,Exposed,12,NA,NA
Day,6,23,Exposed,12,74,1.4208
Day,6,24,Exposed,12,80,1.536
Day,6,25,Exposed,12,78,1.4976
Day,6,26,Exposed,12,77,1.4784
Day,6,27,Exposed,12,NA,NA
Day,6,28,Exposed,12,NA,NA
Day,6,29,Exposed,12,74,1.4208
Day,6,30,Exposed,12,NA,NA
Day,6,31,Control,12,78,1.4976
Day,6,32,Control,12,80,1.536
Day,6,33,Control,12,80,1.536
Day,6,34,Control,12,NA,NA
Day,6,35,Control,12,NA,NA
Day,6,36,Control,12,76,1.4592
Day,6,37,Control,12,60,1.152
Night,6,1,Exposed,12,75,1.44
Night,6,2,Exposed,12,77,1.4784
Night,6,3,Exposed,12,76,1.4592
Night,6,4,Exposed,12,75,1.44
Night,6,5,Exposed,12,78,1.4976
Night,6,6,Exposed,12,77,1.4784
Night,6,7,Exposed,12,79,1.5168
Night,6,8,Exposed,12,78,1.4976
Night,6,9,Exposed,12,NA,NA
Night,6,10,Exposed,12,71,1.3632
Night,6,11,Exposed,12,78,1.4976
Night,6,12,Exposed,12,70,1.344
Night,6,13,Exposed,12,77,1.4784
Night,6,14,Exposed,12,77,1.4784
Night,6,15,Exposed,12,79,1.5168
Night,6,16,Exposed,12,71,1.3632
Night,6,17,Exposed,12,77,1.4784
Night,6,18,Exposed,12,56,1.0752
Night,6,19,Exposed,12,NA,NA
Night,6,20,Exposed,12,74,1.4208
Night,6,21,Exposed,12,NA,NA
Night,6,22,Exposed,12,NA,NA
Night,6,23,Exposed,12,NA,NA
Night,6,24,Exposed,12,76,1.4592
Night,6,25,Exposed,12,77,1.4784
Night,6,26,Exposed,12,NA,NA
Night,6,27,Exposed,12,75,1.44
Night,6,28,Exposed,12,74,1.4208
Night,6,29,Exposed,12,77,1.4784
Night,6,30,Exposed,12,78,1.4976
Night,6,31,Control,12,83,1.5936
Night,6,32,Control,12,86,1.6512
Night,6,33,Control,12,77,1.4784
Night,6,34,Control,12,80,1.536
Night,6,35,Control,12,82,1.5744
Night,6,36,Control,12,79,1.5168
Night,6,37,Control,12,NA,NA
Day,7,1,Exposed,12,77,1.4784
Day,7,2,Exposed,12,75,1.44
Day,7,3,Exposed,12,77,1.4784
Day,7,4,Exposed,12,79,1.5168
Day,7,5,Exposed,12,78,1.4976
Day,7,6,Exposed,12,NA,NA
Day,7,7,Exposed,12,NA,NA
Day,7,8,Exposed,12,78,1.4976
Day,7,9,Exposed,12,77,1.4784
Day,7,10,Exposed,12,76,1.4592
Day,7,11,Exposed,12,NA,NA
Day,7,12,Exposed,12,79,1.5168
Day,7,13,Exposed,12,NA,NA
Day,7,14,Exposed,12,NA,NA
Day,7,15,Exposed,12,NA,NA
Day,7,16,Exposed,12,80,1.536
Day,7,17,Exposed,12,78,1.4976
Day,7,18,Exposed,12,72,1.3824
Day,7,19,Exposed,12,77,1.4784
Day,7,20,Exposed,12,72,1.3824
Day,7,21,Exposed,12,NA,NA
Day,7,22,Exposed,12,NA,NA
Day,7,23,Exposed,12,81,1.5552
Day,7,24,Exposed,12,77,1.4784
Day,7,25,Exposed,12,74,1.4208
Day,7,26,Exposed,12,NA,NA
Day,7,27,Exposed,12,73,1.4016
Day,7,28,Exposed,12,75,1.44
Day,7,29,Exposed,12,80,1.536
Day,7,30,Exposed,12,79,1.5168
Day,7,31,Control,12,NA,NA
Day,7,32,Control,12,81,1.5552
Day,7,33,Control,12,78,1.4976
Day,7,34,Control,12,77,1.4784
Day,7,35,Control,12,83,1.5936
Day,7,36,Control,12,77,1.4784
Day,7,37,Control,12,NA,NA
Night,7,1,Exposed,12,NA,NA
Night,7,2,Exposed,12,76,1.4592
Night,7,3,Exposed,12,NA,NA
Night,7,4,Exposed,12,77,1.4784
Night,7,5,Exposed,12,NA,NA
Night,7,6,Exposed,12,72,1.3824
Night,7,7,Exposed,12,78,1.4976
Night,7,8,Exposed,12,75,1.44
Night,7,9,Exposed,12,71,1.3632
Night,7,10,Exposed,12,80,1.536
Night,7,11,Exposed,12,82,1.5744
Night,7,12,Exposed,12,75,1.44
Night,7,13,Exposed,12,79,1.5168
Night,7,14,Exposed,12,71,1.3632
Night,7,15,Exposed,12,77,1.4784
Night,7,16,Exposed,12,75,1.44
Night,7,17,Exposed,12,NA,NA
Night,7,18,Exposed,12,NA,NA
Night,7,19,Exposed,12,76,1.4592
Night,7,20,Exposed,12,75,1.44
Night,7,21,Exposed,12,75,1.44
Night,7,22,Exposed,12,NA,NA
Night,7,23,Exposed,12,78,1.4976
Night,7,24,Exposed,12,78,1.4976
Night,7,25,Exposed,12,82,1.5744
Night,7,26,Exposed,12,80,1.536
Night,7,27,Exposed,12,80,1.536
Night,7,28,Exposed,12,NA,NA
Night,7,29,Exposed,12,82,1.5744
Night,7,30,Exposed,12,71,1.3632
Night,7,31,Control,12,NA,NA
Night,7,32,Control,12,83,1.5936
Night,7,33,Control,12,80,1.536
Night,7,34,Control,12,75,1.44
Night,7,35,Control,12,NA,NA
Night,7,36,Control,12,NA,NA
Night,7,37,Control,12,79,1.5168
Day,8,1,Exposed,12,NA,NA
Day,8,2,Exposed,12,NA,NA
Day,8,3,Exposed,12,NA,NA
Day,8,4,Exposed,12,NA,NA
Day,8,5,Exposed,12,82,1.5744
Day,8,6,Exposed,12,80,1.536
Day,8,7,Exposed,12,NA,NA
Day,8,8,Exposed,12,80,1.536
Day,8,9,Exposed,12,NA,NA
Day,8,10,Exposed,12,80,1.536
Day,8,11,Exposed,12,75,1.44
Day,8,12,Exposed,12,75,1.44
Day,8,13,Exposed,12,NA,NA
Day,8,14,Exposed,12,71,1.3632
Day,8,15,Exposed,12,76,1.4592
Day,8,16,Exposed,12,NA,NA
Day,8,17,Exposed,12,78,1.4976
Day,8,18,Exposed,12,NA,NA
Day,8,19,Exposed,12,79,1.5168
Day,8,20,Exposed,12,76,1.4592
Day,8,21,Exposed,12,NA,NA
Day,8,22,Exposed,12,76,1.4592
Day,8,23,Exposed,12,NA,NA
Day,8,24,Exposed,12,NA,NA
Day,8,25,Exposed,12,NA,NA
Day,8,26,Exposed,12,80,1.536
Day,8,27,Exposed,12,NA,NA
Day,8,28,Exposed,12,71,1.3632
Day,8,29,Exposed,12,75,1.44
Day,8,30,Exposed,12,80,1.536
Day,8,31,Control,12,85,1.632
Day,8,32,Control,12,76,1.4592
Day,8,33,Control,12,85,1.632
Day,8,34,Control,12,88,1.6896
Day,8,35,Control,12,87,1.6704
Day,8,36,Control,12,85,1.632
Day,8,37,Control,12,86,1.6512
Night,8,1,Exposed,12,NA,NA
Night,8,2,Exposed,12,80,1.536
Night,8,3,Exposed,12,80,1.536
Night,8,4,Exposed,12,79,1.5168
Night,8,5,Exposed,12,78,1.4976
Night,8,6,Exposed,12,NA,NA
Night,8,7,Exposed,12,76,1.4592
Night,8,8,Exposed,12,NA,NA
Night,8,9,Exposed,12,75,1.44
Night,8,10,Exposed,12,NA,NA
Night,8,11,Exposed,12,75,1.44
Night,8,12,Exposed,12,NA,NA
Night,8,13,Exposed,12,NA,NA
Night,8,14,Exposed,12,78,1.4976
Night,8,15,Exposed,12,NA,NA
Night,8,16,Exposed,12,81,1.5552
Night,8,17,Exposed,12,79,1.5168
Night,8,18,Exposed,12,78,1.4976
Night,8,19,Exposed,12,NA,NA
Night,8,20,Exposed,12,74,1.4208
Night,8,21,Exposed,12,85,1.632
Night,8,22,Exposed,12,NA,NA
Night,8,23,Exposed,12,77,1.4784
Night,8,24,Exposed,12,76,1.4592
Night,8,25,Exposed,12,74,1.4208
Night,8,26,Exposed,12,81,1.5552
Night,8,27,Exposed,12,NA,NA
Night,7,28,Exposed,12,79,1.5168
Night,8,29,Exposed,12,72,1.3824
Night,8,30,Exposed,12,NA,NA
Night,8,31,Control,12,77,1.4784
Night,8,32,Control,12,79,1.5168
Night,8,33,Control,12,87,1.6704
Night,8,34,Control,12,80,1.536
Night,8,35,Control,12,91,1.7472
Night,8,36,Control,12,85,1.632
Night,8,37,Control,12,86,1.6512
Day,9,1,Exposed,12,78,1.4976
Day,9,2,Exposed,12,78,1.4976
Day,9,3,Exposed,12,87,1.6704
Day,9,4,Exposed,12,84,1.6128
Day,9,5,Exposed,12,NA,NA
Day,9,6,Exposed,12,60,1.152
Day,9,7,Exposed,12,83,1.5936
Day,9,8,Exposed,12,80,1.536
Day,9,9,Exposed,12,83,1.5936
Day,9,10,Exposed,12,79,1.5168
Day,9,11,Exposed,12,86,1.6512
Day,9,12,Exposed,12,80,1.536
Day,9,13,Exposed,12,79,1.5168
Day,9,14,Exposed,12,82,1.5744
Day,9,15,Exposed,12,81,1.5552
Day,9,16,Exposed,12,81,1.5552
Day,9,17,Exposed,12,81,1.5552
Day,9,18,Exposed,12,NA,NA
Day,9,19,Exposed,12,NA,NA
Day,9,20,Exposed,12,74,1.4208
Day,9,21,Exposed,12,NA,NA
Day,9,22,Exposed,12,78,1.4976
Day,9,23,Exposed,12,75,1.44
Day,9,24,Exposed,12,82,1.5744
Day,9,25,Exposed,12,NA,NA
Day,9,26,Exposed,12,79,1.5168
Day,9,27,Exposed,12,84,1.6128
Day,9,28,Exposed,12,80,1.536
Day,9,29,Exposed,12,75,1.44
Day,9,30,Exposed,12,NA,NA
Day,9,31,Control,12,NA,NA
Day,9,32,Control,12,89,1.7088
Day,9,33,Control,12,77,1.4784
Day,9,34,Control,12,NA,NA
Day,9,35,Control,12,80,1.536
Day,9,36,Control,12,83,1.5936
Day,9,37,Control,12,NA,NA
Night,9,1,Exposed,12,NA,NA
Night,9,2,Exposed,12,NA,NA
Night,9,3,Exposed,12,NA,NA
Night,9,4,Exposed,12,85,1.632
Night,9,5,Exposed,12,NA,NA
Night,9,6,Exposed,12,83,1.5936
Night,9,7,Exposed,12,81,1.5552
Night,9,8,Exposed,12,82,1.5744
Night,9,9,Exposed,12,79,1.5168
Night,9,10,Exposed,12,79,1.5168
Night,9,11,Exposed,12,NA,NA
Night,9,12,Exposed,12,83,1.5936
Night,9,13,Exposed,12,NA,NA
Night,9,14,Exposed,12,84,1.6128
Night,9,15,Exposed,12,NA,NA
Night,9,16,Exposed,12,77,1.4784
Night,9,17,Exposed,12,81,1.5552
Night,9,18,Exposed,12,NA,NA
Night,9,19,Exposed,12,NA,NA
Night,9,20,Exposed,12,80,1.536
Night,9,21,Exposed,12,78,1.4976
Night,9,22,Exposed,12,80,1.536
Night,9,23,Exposed,12,82,1.5744
Night,9,24,Exposed,12,80,1.536
Night,9,25,Exposed,12,NA,NA
Night,9,26,Exposed,12,82,1.5744
Night,9,27,Exposed,12,NA,NA
Night,9,28,Exposed,12,NA,NA
Night,9,29,Exposed,12,78,1.4976
Night,9,30,Exposed,12,NA,NA
Night,9,31,Control,12,81,1.5552
Night,9,32,Control,12,85,1.632
Night,9,33,Control,12,85,1.632
Night,9,34,Control,12,85,1.632
Night,9,35,Control,12,90,1.728
Night,9,36,Control,12,56,1.0752
Night,9,37,Control,12,NA,NA